Brand,Product,Price,Description
Mother_Diary,Milk,50,price of 1litre milk
Amul,Milk,48,price of 1litre milk
Britannia,Butter,120,price of 500gram  packet
Amul,Butter,115,price of 500gram packet
Dabur,Honey,200,price of 500gram packet
Patanjali,Honey,180,price of 500gram packet
Nestle,Chocolate,150,price of 50 gram packet
Cadbury,Chocolate,140,price of 50 gram packet
Tata,tea,100,price of 500 gram packet
Brooke,tea,95,price of 500 gram packet
Colgate,toothpaste,60,price of 1packet
Pepsodent,toothpaste,55,price of 1packet
Lg,washing_powder,250,price of 5kg packet
surf excel,washing_powder,240,price of  5kg packet
dove,soap,40,price of 1packet
lux,soap,35,price of 1packet
Amul,cheese,180,price of 500gram packet
Britannia,cheese,175,price of 500gram packet
parle,biscuits,20,price of 50 gram packet
Britannia,biscuits,22,price of 50 gram packet
Nestle,noodles,15,price of 60gram packet
maggie,noodles,18,price of 60gram packet
red_bull,energy drink,120,price of 250ml can
monster,energy drink,110,price of 250ml can
coca-cola,soft drink,40,price of 500ml can
